COUNTRY_CODE,REGION,REGION_CLEANED
AD,EMEA,EMEA
AE,EMEA,EMEA
AG,NA,NA
AI,NA,NA
AL,EMEA,EMEA
AM,APAC,APAC
AO,EMEA,EMEA
AR,LATAM,LATAM
AS,APAC,APAC
AT,EMEA,EMEA
AU,APAC,APAC
AW,North America,NA
AX,EMEA,EMEA
AZ,EMEA,EMEA
BA,EMEA,EMEA
BB,North America,NA
BD,APAC,APAC
BE,EMEA,EMEA
BF,EMEA,EMEA
BG,EMEA,EMEA
BH,APAC,APAC
BJ,EMEA,EMEA
BM,North America,NA
BN,APAC,APAC
BO,LATAM,LATAM
BQ,NA,NA
BR,LATAM,LATAM
BS,NA,NA
BT,APAC,APAC
BW,EMEA,EMEA
BY,EMEA,EMEA
BZ,North America,NA
CA,North America,NA
CD,EMEA,EMEA
CH,EMEA,EMEA
CI,EMEA,EMEA
CK,APAC,APAC
CL,LATAM,LATAM
CM,EMEA,EMEA
CN,APAC,APAC
CO,LATAM,LATAM
CR,LATAM,LATAM
CU,LATAM,LATAM
CV,EMEA,EMEA
CW,NA,NA
CY,EMEA,EMEA
CZ,EMEA,EMEA
DE,EMEA,EMEA
DK,EMEA,EMEA
DO,LATAM,LATAM
DZ,EMEA,EMEA
EC,LATAM,LATAM
EE,EMEA,EMEA
EG,EMEA,EMEA
ES,EMEA,EMEA
ET,EMEA,EMEA
FI,EMEA,EMEA
FJ,APAC,APAC
FO,EMEA,EMEA
FR,EMEA,EMEA
GB,EMEA,EMEA
GD,NA,NA
GE,EMEA,EMEA
GF,LATAM,LATAM
GG,EMEA,EMEA
GH,EMEA,EMEA
GI,EMEA,EMEA
GL,NA,NA
GN,EMEA,EMEA
GP,NA,NA
GR,EMEA,EMEA
GT,LATAM,LATAM
GU,APAC,APAC
GY,LATAM,LATAM
HK,APAC,APAC
HN,LATAM,LATAM
HR,EMEA,EMEA
HT,LATAM,LATAM
HU,EMEA,EMEA
ID,APAC,APAC
IE,,EMEA
IL,EMEA,EMEA
IM,EMEA,EMEA
IN,APAC,APAC
IQ,EMEA,EMEA
IR,APAC,APAC
IS,EMEA,EMEA
IT,EMEA,EMEA
JE,EMEA,EMEA
JM,NA,NA
JO,EMEA,EMEA
JP,APAC,APAC
KE,EMEA,EMEA
KG,APAC,APAC
KH,APAC,APAC
KN,NA,NA
KR,APAC,APAC
KW,EMEA,EMEA
KY,NA,NA
KZ,EMEA,EMEA
LA,APAC,APAC
LB,,EMEA
LC,NA,NA
LI,EMEA,EMEA
LK,APAC,APAC
LT,EMEA,EMEA
LU,EMEA,EMEA
LV,EMEA,EMEA
MA,EMEA,EMEA
MC,EMEA,EMEA
MD,EMEA,EMEA
ME,EMEA,EMEA
MG,EMEA,EMEA
MH,X.x,APAC
MK,EMEA,EMEA
ML,EMEA,EMEA
MM,APAC,APAC
MN,APAC,APAC
MO,APAC,APAC
MP,APAC,APAC
MQ,NA,NA
MR,EMEA,EMEA
MT,EMEA,EMEA
MU,EMEA,EMEA
MV,APAC,APAC
MW,EMEA,EMEA
MX,LATAM,LATAM
MY,APAC,APAC
MZ,EMEA,EMEA
NA,EMEA,EMEA
NC,APAC,APAC
NG,EMEA,EMEA
NI,LATAM,LATAM
NL,EMEA,EMEA
NO,EMEA,EMEA
NP,APAC,APAC
NZ,APAC,APAC
OM,EMEA,EMEA
PA,LATAM,LATAM
PE,LATAM,LATAM
PF,APAC,APAC
PG,X.x,APAC
PH,APAC,APAC
PK,APAC,APAC
PL,EMEA,EMEA
PR,NA,NA
PS,EMEA,EMEA
PT,EMEA,EMEA
PY,LATAM,LATAM
QA,EMEA,EMEA
RE,EMEA,EMEA
RO,EMEA,EMEA
RS,EMEA,EMEA
RU,APAC,APAC
RW,EMEA,EMEA
SA,EMEA,EMEA
SC,EMEA,EMEA
SD,EMEA,EMEA
SE,EMEA,EMEA
SG,APAC,APAC
SI,EMEA,EMEA
SK,EMEA,EMEA
SL,EMEA,EMEA
SN,EMEA,EMEA
SO,EMEA,EMEA
SV,LATAM,LATAM
SX,NA,NA
TC,NA,NA
TG,EMEA,EMEA
TH,APAC,APAC
TJ,APAC,APAC
TL,APAC,APAC
TN,EMEA,EMEA
TR,EMEA,EMEA
TT,NA,NA
TW,APAC,APAC
TZ,EMEA,EMEA
UA,EMEA,EMEA
UG,EMEA,EMEA
US,NA,NA
UY,LATAM,LATAM
UZ,APAC,APAC
VC,NA,NA
VE,LATAM,LATAM
VG,NA,NA
VI,NA,NA
VN,APAC,APAC
VU,APAC,APAC
YE,EMEA,EMEA
ZA,EMEA,EMEA
ZM,EMEA,EMEA
ZW,EMEA,EMEA